"EURUSD=X","EUR/USD","8/25/2015","1:24pm",1.1498,1.1498,"1:24pm - <b>1.1498</b>",1.1498,"1.1456 - 1.1605",0
"EURGBP=X","EUR/GBP","8/25/2015","1:24pm",0.7285,0.7284,"1:24pm - <b>0.7284</b>",0.7284,"0.7259 - 0.7364",0
"EURAUD=X","EUR/AUD","8/25/2015","1:24pm",1.5934,1.5929,"1:24pm - <b>1.5932</b>",1.5932,"1.5824 - 1.6241",0
"EURJPY=X","EUR/JPY","8/25/2015","1:24pm",137.8320,137.8240,"1:24pm - <b>137.8280</b>",137.8280,"137.1226 - 138.6088",0
"EURCHF=X","EUR/CHF","8/25/2015","1:24pm",1.0837,1.0836,"1:24pm - <b>1.0836</b>",1.0836,"1.0769 - 1.0884",0
"EURSEK=X","EUR/SEK","8/25/2015","1:24pm",9.5544,9.5510,"1:24pm - <b>9.5527</b>",9.5527,"9.5280 - 9.5906",0
"EURCAD=X","EUR/CAD","8/25/2015","1:24pm",1.5171,1.5169,"1:24pm - <b>1.5170</b>",1.5170,"1.5094 - 1.5419",0
"EURNZD=X","EUR/NZD","8/25/2015","1:24pm",1.7586,1.7581,"1:24pm - <b>1.7584</b>",1.7584,"1.7489 - 1.8006",0
"EURSGD=X","EUR/SGD","8/25/2015","1:24pm",1.6078,1.6075,"1:24pm - <b>1.6076</b>",1.6076,"1.5995 - 1.6371",0
"EURNOK=X","EUR/NOK","8/25/2015","1:24pm",9.3890,9.3847,"1:24pm - <b>9.3869</b>",9.3869,"9.3715 - 9.5487",0
